id,x,y
8342,-139.48433,120.633224
3216,-137.89142,102.36132
2854,-144.34871,101.8503
5568,-156.37938,116.63042
12976,-143.28531,113.80643
2118,-149.90564,115.03622
2578,-146.77234,118.067795
8470,-130.92325,110.5129
8773,-133.76079,106.36301
3267,-155.50424,112.39396
3316,-156.57828,120.26204
6731,-139.68398,109.347755
2683,-161.52505,114.26693
12427,-160.79704,116.6564
2820,-125.79355,109.24533
8691,-134.45656,125.03363
8359,-139.08897,112.69332
2848,-160.96133,115.4024
8350,-144.85751,112.51331
8756,-163.51346,111.70913
6850,-150.06912,117.64956
8348,-129.37903,107.631744
6820,-135.87831,100.717354
3058,-158.88872,115.1307
12690,-142.71133,116.09557
9110,-146.85234,114.266365
6800,-132.10081,114.354294
2895,-160.1814,118.06495
12297,-139.5906,123.321945
13105,-144.0545,111.88445
6795,-131.2357,98.30016
3239,-127.3507,123.03383
16143,-137.88322,113.5351
8955,-139.98589,113.698296
15835,-143.20967,117.239204
15731,-129.7116,106.07203
8920,-141.83249,107.86559
8263,-148.991,118.29996
16000,-138.10811,96.61041
8615,-136.42584,110.55973
8225,-130.31328,97.32551
8732,-137.14261,114.0443
6880,-155.43767,120.78549
3253,-128.16748,122.827385
8482,-142.3877,100.55694
13174,-132.77742,111.375496
6863,-139.80888,116.48089
5523,-161.50305,113.60012
12925,-160.84276,115.490074
13099,-133.91028,102.62865
12550,-131.11739,112.30323
13118,-152.51437,114.29575
8382,-144.94733,106.15806
8810,-142.24414,122.18583
8634,-140.59734,103.57142
3218,-159.67471,118.389984
8241,-126.12988,110.62911
12304,-163.5578,109.63384
13075,-141.99516,102.61534
6854,-143.91693,118.13298
3429,-139.0158,100.393326
3575,-145.63533,99.28125
16301,-138.75984,104.461105
8904,-132.40756,99.290375
8443,-144.2972,106.32834
8331,-141.99081,101.42227
15756,-134.37056,121.742615
8498,-137.92435,97.2347
8592,-143.24138,110.7026
8888,-146.81296,107.75474
8511,-127.71091,123.0703
2148,-161.15128,114.89272
13161,-157.57697,120.60454
8409,-157.26654,120.359436
5573,-134.64389,120.70935
8395,-136.37035,122.1893
6828,-133.5165,120.36353
20535,-127.64981,123.04992
8905,-154.92828,120.93021
12764,-129.72188,106.08086
12327,-133.23553,118.481926
12705,-139.90671,114.646164
5433,-154.87735,116.66291
8510,-156.47797,114.57547
9068,-148.87863,113.75075
13062,-142.8404,101.28163
9111,-156.16727,113.92889
15632,-143.33412,104.49351
15468,-139.67152,116.70102
13078,-149.82838,116.861824
9032,-145.66667,103.78641
8580,-138.152,105.05899
8997,-148.77597,113.7152
5567,-155.98843,113.66931
12487,-144.62883,106.20696
15974,-131.58406,113.29288
8402,-147.28075,113.64161
8595,-132.28433,109.21222
8675,-138.2358,105.12847
12820,-147.9996,114.67291
13238,-135.80016,102.724815
6694,-146.32126,104.20898
5572,-158.45213,114.73372
12686,-138.87408,107.336044
12543,-140.06015,118.051926
13095,-132.8287,111.42091
5386,-147.89435,114.86206
5495,-154.72234,113.560486
20543,-135.8251,104.66433
12821,-144.50723,106.01705
15850,-148.70435,118.282875
5468,-159.44215,116.43453
16190,-163.52283,109.49072
6858,-148.85187,113.645065
20490,-141.26952,103.26399
15778,-134.62827,106.79462
8752,-147.96695,116.32435
8663,-159.48566,116.4239
8662,-136.06595,100.5035
13225,-143.07954,103.4821
15757,-147.86508,116.27139
16043,-141.44135,103.206184
8825,-135.1959,104.087265
13260,-146.04176,102.83061
13227,-144.06316,104.696014
8829,-146.21353,104.07078
12979,-137.13742,102.786156
5434,-129.89323,107.31639
20632,-147.03642,114.98693
6856,-138.25832,105.22627
1754,-163.5089,112.15011
12517,-142.06076,107.63593
16094,-145.58868,99.40627
8629,-143.93976,117.74702
9198,-145.28035,101.81843
13192,-135.5178,104.93727
6819,-138.93399,100.58732
5402,-164.0204,111.48356
3343,-155.4528,111.76154
12314,-125.28606,109.956764
16173,-132.29506,109.24443
8574,-131.4676,98.52578
8755,-137.56523,98.5206
3312,-136.99991,104.467
16118,-130.6445,97.68093
8393,-147.00209,101.20508
13257,-138.22838,104.99729
13079,-126.940384,109.073814
15934,-130.92293,111.96024
12418,-136.2423,101.70395
15682,-134.9071,106.74703
9199,-163.13496,111.41342
8515,-126.12536,109.69175
13004,-139.25183,102.645386
8563,-132.41217,104.99877
8299,-146.91328,107.81807
2122,-132.50603,105.06165
13230,-134.4335,121.7265
15582,-137.20528,114.007965
8863,-127.86948,123.05782
15508,-134.34152,124.687935
16054,-134.32587,124.62359
12846,-134.35033,124.6651
8336,-158.24922,117.67964
8623,-157.36716,116.8101
9056,-157.68271,120.56921
5461,-155.75662,120.657555
12724,-158.72379,115.76943
12714,-136.30096,122.228584
12332,-137.55939,121.09744
16300,-134.50604,120.78802
8594,-134.33383,124.58395
15672,-144.63448,102.90901
15761,-136.08885,117.1343
16033,-157.22028,119.67777
8828,-137.15787,117.75485
12499,-134.32024,124.61687
8775,-158.35182,117.36339
12500,-140.02074,113.83804
8480,-148.80637,115.014275
15898,-128.33385,122.799805
8981,-158.52826,117.036865
6868,-157.26279,119.76393
6767,-133.24756,118.50452
8411,-158.02972,117.96363
11584,-137.77734,113.62085
12683,-136.761,118.36972
8449,-129.72858,106.120094
12679,-131.76424,110.54089
8744,-136.26144,119.43042
6874,-157.91689,116.94585
20544,-142.5553,114.08257
8507,-134.67442,106.115524
8370,-157.0526,119.60396
8557,-136.63515,120.38971
6662,-138.60272,119.49673
5471,-158.13245,116.608925
13215,-148.71655,114.872055
15815,-133.94829,102.63903
8753,-155.49399,113.25347
8790,-137.21754,116.979
13155,-144.89925,106.124306
8797,-137.66606,118.97048
8936,-135.32405,117.44566
20663,-136.48134,118.684746
8440,-142.63742,115.96348
16179,-133.59169,120.458176
13080,-127.810104,123.05704
8749,-135.99551,118.938484
3235,-135.95444,118.17466
5563,-137.09752,118.62924
12739,-131.70714,110.25313
8291,-148.63959,115.238304
12768,-136.6456,119.85558
8636,-146.92586,117.16873
6903,-137.97176,118.52701
8324,-157.57841,117.35442
8345,-137.67313,120.590454
15626,-138.14113,96.502945
3325,-157.71999,117.76166
16308,-157.5042,116.64693
20518,-132.83621,111.42938
15500,-132.1512,114.38372
12943,-126.15244,110.710686
20575,-143.92502,103.33679
12397,-144.03152,102.95528
8711,-137.65169,119.55237
5429,-142.56493,116.036316
16012,-139.0153,113.12828
16020,-137.85399,113.63093
2875,-157.20187,117.54567
5480,-137.36275,119.40741
5553,-137.64186,119.69127
8568,-137.60594,117.83194
15759,-136.01434,118.27798
3335,-157.76901,116.368706
12951,-144.20667,103.556206
20702,-131.75458,110.57046
8915,-155.79956,113.116714
8371,-135.73787,119.91621
16287,-144.56229,103.52812
12668,-138.68571,119.083145
6673,-139.01035,113.0798
2643,-161.4017,114.52446
15658,-142.65178,114.29971
15489,-157.17912,116.98549
12730,-148.83226,114.9755
12452,-135.32248,119.05297
15640,-136.83653,118.10899
12380,-135.29681,118.2888
16230,-137.5284,118.0861
5467,-142.25514,122.187164
3217,-132.14629,114.35709
5558,-159.51799,117.820786
13295,-138.63783,117.823135
12622,-143.23543,117.23458
8684,-158.21793,117.06387
9157,-155.90674,112.97644
2587,-159.64941,117.83496
12396,-137.78836,117.57053
20597,-136.22916,120.48244
6857,-155.8456,113.36103
12791,-136.57741,119.374664
3287,-143.98335,111.84383
16345,-137.48647,103.2385
9107,-137.2429,103.32606
16083,-146.82573,117.17765
3226,-138.86574,118.699486
13056,-136.4126,117.645676
15487,-131.77806,110.5319
8846,-139.53838,108.93979
3351,-155.57072,113.17606
20628,-146.83331,117.174965
8533,-131.49445,98.560036
3277,-135.92224,100.81828
6671,-157.61116,117.95735
5387,-163.36636,111.65909
8249,-137.8488,118.72087
12958,-131.82434,110.30752
12879,-137.06308,102.822914
6788,-126.02298,109.700806
12335,-143.83192,118.01697
12685,-138.3967,120.30797
20483,-144.52104,102.99169
13165,-137.57118,103.545815
8392,-134.50423,106.1339
20651,-142.4987,114.044266
12448,-157.10751,117.74977
6699,-158.64839,115.55043
12790,-144.0001,103.063545
5592,-138.15675,96.44181
8496,-130.26414,97.269844
13071,-144.31137,102.73784
8988,-136.43318,110.58968
8334,-139.5668,108.944046
15984,-139.5361,108.934456
20533,-144.28036,106.37399
12416,-150.03712,117.62099
15610,-137.04524,103.61901
12695,-144.47713,103.510056
20576,-129.6213,107.40407
8641,-139.5613,108.92719
8901,-137.198,103.64388
8570,-136.8456,103.498474
8226,-139.602,123.31496
9039,-125.94173,109.71101
5537,-142.41086,114.193214
15490,-126.13423,109.76719
